,History,Stock,% ofPortfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,CurrentPrice,+/-ReportedPrice,52WeekLow,52WeekHigh,PortfolioName,PortfolioDate,URL
1,≡,HLT - Hilton Worldwide Holdings,18.22,Reduce 2.26%,12594336,$155.99,"$1,964,590,000",,$151.55,-2.85%,$114.70,$160.96,Bill Ackman - Pershing Square Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=psc
2,≡,CMG - Chipotle Mexican Grill Inc.,18.08,,1114725,$1748.25,"$1,948,818,000",,$1604.69,-8.21%,$1277.41,$1958.55,Bill Ackman - Pershing Square Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=psc
3,≡,QSR - Restaurant Brands International,13.47,,23937248,$60.68,"$1,452,512,000",,$58.75,-3.18%,$52.97,$68.67,Bill Ackman - Pershing Square Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=psc
4,≡,HHC - Howard Hughes Corp.,12.86,,13620164,$101.78,"$1,386,260,000",,$102.17,0.38%,$81.99,$113.20,Bill Ackman - Pershing Square Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=psc
5,≡,DPZ - Dominos Pizza Inc.,10.95,,2092202,$564.33,"$1,180,692,000",,$391.17,-30.68%,$369.65,$565.95,Bill Ackman - Pershing Square Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=psc
6,≡,CP - Canadian Pacific Railway,1.88,Buy,2813747,$71.94,"$202,421,000",,$77.95,8.35%,$63.97,$84.22,Bill Ackman - Pershing Square Capital Management,31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=psc
0,≡,GOOGL - Alphabet Inc.,10.34,Reduce 0.97%,193011,$2897.04,"$559,161,000",,$2811.82,-2.94%,$2193.62,$3030.93,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
1,≡,CBRE - CBRE Group,8.76,Reduce 3.96%,4366660,$108.51,"$473,826,000",,$90.92,-16.21%,$77.72,$111.00,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
2,≡,ALLY - Ally Financial Inc.,5.28,,6000100,$47.61,"$285,665,000",,$42.96,-9.77%,$39.85,$55.69,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
3,≡,FISV - Fiserv Inc.,4.9,Buy,2550000,$103.79,"$264,665,000",,$103.38,-0.40%,$89.91,$127.34,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
4,≡,FB - Meta Platforms Inc.,4.87,,783000,$336.35,"$263,362,000",,$231.86,-31.07%,$185.82,$384.33,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
5,≡,CHTR - Charter Communications,4.69,,388900,$651.97,"$253,551,000",,$556.84,-14.59%,$544.59,$825.62,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
6,≡,NFLX - Netflix Inc.,4.68,Reduce 10.65%,419600,$602.44,"$252,784,000",,$380.24,-36.88%,$329.82,$700.99,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
7,≡,AIG - American International Group,4.43,,4209800,$56.86,"$239,369,000",,$62.45,9.83%,$43.78,$64.90,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
8,≡,C - Citigroup Inc.,4.4,,3942010,$60.39,"$238,058,000",,$51.58,-14.59%,$51.42,$78.50,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
9,≡,STZ - Constellation Brands,4.22,,909600,$250.97,"$228,282,000",,$230.34,-8.22%,$205.98,$257.17,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
10,≡,COF - Capital One Financial,4.02,Reduce 0.66%,1499100,$145.09,"$217,504,000",,$130.42,-10.11%,$122.43,$176.60,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
11,≡,HUM - Humana Inc.,4.01,,467000,$463.86,"$216,623,000",,$443.22,-4.45%,$350.57,$472.29,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
12,≡,LEA - Lear Corp.,3.89,,1150000,$182.95,"$210,393,000",,$133.43,-27.07%,$127.21,$202.06,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
13,≡,BAC - Bank of America Corp.,3.72,Reduce 23.65%,4520900,$44.49,"$201,135,000",,$40.14,-9.78%,$35.97,$49.87,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
14,≡,EOG - EOG Resources,3.69,Reduce 8.56%,2243637,$88.83,"$199,302,000",,$117.83,32.65%,$60.14,$124.89,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
15,≡,BKNG - Booking Holdings Inc.,3.64,,82000,$2399.23,"$196,737,000",,$2295.98,-4.30%,$1796.45,$2715.66,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
16,≡,REGN - Regeneron Pharmaceuticals,3.39,,290000,$631.52,"$183,141,000",,$691.83,9.55%,$469.80,$710.21,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
17,≡,HCA - HCA Healthcare Inc.,3.34,,702746,$256.92,"$180,550,000",,$243.61,-5.18%,$183.68,$271.69,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
18,≡,GE - General Electric,3.06,,1752700,$94.47,"$165,578,000",,$90.10,-4.63%,$85.29,$115.96,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
19,≡,ALSN - Allison Transmission Holdings,3.02,Buy,4490000,$36.35,"$163,212,000",,$37.81,4.02%,$32.21,$45.50,"Bill Nygren - Oakmark Select Fund
i
Philosophy We are value investors, which means that we invest in companies that we believe trade at a substantial discount to what we consider to be their true business value. We are patient investors, not market timers. We believe that, over time, the price of a stock will rise to reflect the value of the underlying company. Every stock purchase is viewed as if we were buying a piece of a business, not just a stock certificate. We believe that this approach to investing allows for significant investment returns while reducing risk.  Process Because our analysts and portfolio managers seek to identify undervalued companies, the investment process is not based on macro-economic factors, such as the performance of the economy or the direction of interest rates. Nor is it based solely on technical factors, such as the performance of the stock market itself. Instead, we employ an intensive, in-house research process to identify companies that meet our value criteria.  While some value investors may search only for stocks with low price-earnings ratios irrespective of the companies' underlying worth, Oakmark takes a more in-depth approach. In evaluating potential investments, we focus on the following characteristics:  - A company's stock price and whether it is a significant discount to our estimate of underlying business value - Free cash flows & intelligent investment of excess cash - High level of manager ownership",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=oaklx
